Year,Month,Weekly,Date,Fac.,Model,PGSC,Supplier,Part group,Stock Qty,Input Q'ty,Target of Input Qty,Inspection Qty,Pass Qty,Reject Qty,Return Qty,Percent,Return %,Result,Air Bubble,Big/ small,Bonding gap,Blk point,Burn,"Color 
Migration",C-Grade ,Crooked toe,Damaged,Deform,"Different 
color",Dirty,Long\ Short,Long ,Short,Missing Painting,Mold,Over Cement,Over painting,Over Primer,"Over
trimming",Uneven color,"Peel Off
painting",Poor Attached,"Poor 
buffing","Poor 
painting",Poor Trimming,Shiny/not shiny,Tear/ Crack,Thickness,Scratched,Toe spring/Hell spring,Undercure,Thinness Edge,Wobbling,Yellow,Over buffing,Poor edge,Fungus,Concave,Long toe,Others,REMARK
2025,1,1,2025-01-03,C,GALAXY 7 M,AC3-ID8757,TAESUNG RACH GIA,Stockfit,,260,260,260,252,8,8,3.08%,3.08%,,,,,,,,,,3,,,,,,,,,3,,,,,,2,,,,,,,,,,,,,,,,,,,
2025,1,1,2025-01-03,C,GALAXY 7 M,AB-ID8752,EZ,Stockfit,,840,840,170,165,5,5,2.94%,0.60%,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2025-01-03,C,GALAXY 7 M,A-JI4597,EZ,Stockfit,365,135,500,500,491,9,9,1.80%,1.80%,,,,,,,,,,,,,,,,,,,4,,,,,2,3,,,,,,,,,,,,,,,,,,,
2025,1,1,2025-01-03,C,GALAXY 7 W,A-IG2117,EZ,Stockfit,,564,564,300,294,6,6,2.00%,1.06%,,,,,,,,,,1,,,,,,,,,3,,,,,,2,,,,,,,,,,,,,,,,,,,
2025,1,1,2025-01-03,C,GALAXY 7 M,AC3-ID8760,TAESUNG RACH GIA,Stockfit,721,649,1370,1370,1345,25,25,1.82%,1.82%,,4,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2025-01-03,C,GALAXY 7 M,A-JI4601,EZ,Stockfit,70,980,1050,1050,1034,16,16,1.52%,1.52%,,2,,,,,,,,,,,,,,,,,11,,,,,3,,,,,,,,,,,,,,,,,,,,
2025,1,1,2025-01-03,C,GALAXY 7 W,AC3-ID8764,TAESUNG RACH GIA,Stockfit,,1016,1016,710,696,14,14,1.97%,1.38%,,3,,7,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
2025,1,1,2025-01-03,C,GRAND COURT 2.0 EL C,AC2-IE5995,TAESUNG RACH GIA,Outsole,,740,740,140,112,28,740,20.00%,100.00%,Fail,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2025-01-03,B,ADVANTAGE K,AC-GY6995,TAESUNG RACH GIA,Outsole,2900,1397,4297,1930,1882,48,48,2.49%,1.12%,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2025-01-03,A,VL COURT 3.0 K,AB2-ID6313,TAESUNG RACH GIA,Outsole,,1408,1408,1408,1346,62,62,4.40%,4.40%,,,,,,,,,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2025-01-03,A,VL COURT 3.0 K,AB2-ID9062,TAESUNG RACH GIA,Outsole,,3260,3260,3260,3185,75,75,2.30%,2.30%,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2025-01-03,A,TENSAUR RUN 3.0 J,AB4-IE3544,SOC TRANG,IMEVA,17268,0,17268,2350,1884,466,466,19.83%,2.70%,,97,,,,,,,,61,,,110,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2025-01-03,D,VL COURT 3.0,AC5-ID6276,EZ,Outsole,,3670,3670,360,352,8,8,2.22%,0.22%,Pass,,,,,,,,,,,,4,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,
2025,1,1,2025-01-03,A,LIGHTSHIFT,A-JH9324,EZ,Stockfit,1910,294,2204,2204,2158,46,46,2.09%,2.09%,,,,,,,,,,27,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2025-01-03,A,LIGHTSHIFT,A-JH9326,EZ,Stockfit,2298,170,2468,1450,1394,56,56,3.86%,2.27%,,11,,3,,,,,,,,,25,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,
2025,1,1,2025-01-03,D,VS PACE 2.0,AC5-HP6008,TAESUNG RACH GIA,Stockfit,,1101,1101,100,98,2,2,2.00%,0.18%,Pass,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,
2025,1,1,2025-01-03,D,VL COURT 3.0,A1-JP7536,EZ,Outsole,,566,566,60,59,1,1,1.67%,0.18%,Pass,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2025-01-03,D,VS PACE 2.0,AC5-HP6009,TAESUNG RACH GIA,Stockfit,,790,790,80,79,1,1,1.25%,0.13%,Pass,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
2025,1,1,2025-01-03,D,VL COURT 3.0,AB1-ID9184,EZ,Outsole,,2496,2496,250,247,3,3,1.20%,0.12%,Pass,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
2025,1,1,2025-01-03,D,VS PACE 2.0,AC5-HP6012,TAESUNG RACH GIA,Stockfit,,520,520,50,49,1,1,2.00%,0.19%,Pass,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
2025,1,1,2025-01-03,D,ADVANTAGE,AB-GW4850,TAESUNG CU CHI,Outsole,,279,279,279,266,13,13,4.66%,4.66%,,,,,,,,,,,,,3,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,
2025,1,1,2025-01-03,D,ADVANTAGE,AC5-ID9630,TAESUNG CU CHI,Outsole,,460,1600,1600,1454,146,146,9.13%,9.13%,,,,,,,,,,6,,15,5,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,
2025,1,1,2025-01-03,D,TENSAUR SPORT 2.0 CF K,AB-IG8580,HVC,Outsole,,339,339,40,39,1,1,2.50%,0.29%,Pass,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2025-01-03,D,VS PACE 2.0,A-JI1811,TAESUNG RACH GIA,Stockfit,,450,450,50,49,1,1,2.00%,0.22%,Pass,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2025-01-03,D,VL COURT 3.0,A1-JP7535,EZ,Outsole,,0,1250,1250,1220,30,30,2.40%,2.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,
2025,1,1,2025-01-03,D,TENSAUR SPORT 2.0 CF K,AC10-GW1981,HVC,Outsole,,0,700,700,680,20,20,2.86%,2.86%,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2025-01-04,D,TENSAUR SPORT 2.0 K,A1-IG8580,HVC,Outsole,,440,440,50,49,1,1,2.00%,0.23%,Pass,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2025-01-04,D,TENSAUR SPORT 2.0 K,AB1-GW1981,HVC,Outsole,,80,80,10,10,0,0,0.00%,0.00%,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2025-01-04,D,VL COURT 3.0,AB1-ID6278,EZ,Outsole,,2648,2648,270,262,8,8,2.96%,0.30%,Pass,,,,,,,,,2,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2025-01-04,D,VL COURT 3.0,AB1-ID9184,EZ,Outsole,,683,683,70,68,2,2,2.86%,0.29%,Pass,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
2025,1,1,2025-01-04,D,VL COURT 3.0,A1-JP7535,EZ,Outsole,,0,1241,1241,1215,26,26,2.10%,2.10%,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2025-01-04,D,VS PACE 2.0,A-JI1812,TAESUNG RACH GIA,Stockfit,4400,1140,5540,1173,1149,24,24,2.05%,0.43%,,,,5,,,,,,2,,,,,,,,,14,,,,,,,,,,,,,3,,,,,,,,,,,,
2025,1,1,2025-01-04,D,VS PACE 2.0,AB1-HP6008,TAESUNG RACH GIA,Stockfit,,2200,2200,220,214,6,6,2.73%,0.27%,Pass,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,2,,,,,,
2025,1,1,2025-01-04,D,VS PACE 2.0,AB1-HP6009,TAESUNG RACH GIA,Stockfit,,790,790,80,78,2,2,2.50%,0.25%,Pass,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2025-01-04,D,VS PACE 2.0,AB1-HP6010,TAESUNG RACH GIA,Stockfit,,140,140,20,20,0,0,0.00%,0.00%,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2025-01-04,D,VS PACE 2.0,AB1-HP6012,TAESUNG RACH GIA,Stockfit,,690,690,70,69,1,1,1.43%,0.14%,Pass,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2025-01-04,A,VL COURT 3.0 K,AB2-ID6312,TAESUNG RACH GIA,Outsole,1270,374,1644,1644,1595,49,49,2.98%,2.98%,,,,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2025-01-04,A,VL COURT 3.0 K,AB2-ID9062,TAESUNG RACH GIA,Outsole,,3090,3090,2090,2033,57,57,2.73%,1.84%,,,,,,,,,,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2025-01-04,A,LIGHTSHIFT,A-JH9326,EZ,Stockfit,,629,629,629,620,9,9,1.43%,1.43%,,7,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2025-01-04,A,LIGHTSHIFT,A-JH9315,EZ,Stockfit,,2587,2587,1950,1912,38,38,1.95%,1.47%,,,,3,,,,,,,,,15,,,,,,11,,,,,,9,,,,,,,,,,,,,,,,,,,
2025,1,1,2025-01-04,A,LIGHTSHIFT,A-JH9310,EZ,Stockfit,1830,0,1830,1830,1812,18,18,0.98%,0.98%,,,,3,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2025-01-04,A,TENSAUR RUN 3.0 J,AB4-IE3543,SOC TRANG,IMEVA,15590,2621,18211,3250,2796,454,454,13.97%,2.49%,,89,,,,,18,,,25,,,139,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2025-01-04,B,ADVANTAGE K,AC-GY6995,TAESUNG RACH GIA,Outsole,0,2186,2186,1186,1151,35,35,2.95%,1.60%,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2025-01-04,C,GALAXY 7 M,AC3-ID8760,TAESUNG RACH GIA,Stockfit,,3360,3366,420,414,6,6,1.43%,0.18%,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2025-01-04,C,TENSAUR COMFORT AC J,A1-JR7661,SOC TRANG,IMEVA,,0,380,380,370,10,10,2.63%,2.63%,,5,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2025-01-04,C,GALAXY 7 M,AC3-ID8757,TAESUNG RACH GIA,Stockfit,,1404,1404,1250,1228,22,22,1.76%,1.57%,,,,,,,,,,2,,,,,,,,,12,,,,,,8,,,,,,,,,,,,,,,,,,,
2025,1,1,2025-01-04,C,GRAND COURT 2.0 EL C,AC2-IH5529,TAESUNG RACH GIA,Outsole,,70,70,70,50,20,20,28.57%,28.57%,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2025-01-04,C,GALAXY 7 M,A-JI4601,EZ,Stockfit,,3191,3191,990,971,19,19,1.92%,0.60%,,,,,,,,,,1,,,,,,,,,9,,,,,2,7,,,,,,,,,,,,,,,,,,,
2025,1,1,2025-01-04,C,GALAXY 7 M,AC3-ID8757,TAESUNG RACH GIA,Stockfit,,280,280,280,271,9,9,3.21%,3.21%,,2,,4,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
