Year,Month,Week,Date,Supplier,Part,Process,Model,PGSC,Po#,Input Qty ,Inspection Q'ty ,Pass Qty ,Reject Qty ,Reject %,Result,"Wrong printing 
position",Bad printing,"Peel off 
printing",Delamination,"Wrong pressing 
position","Different
 color",Dirty,Bonding Gap,"Logo scratch/
peel of",High/ low sidetrip,Air hole,"Peel off
3 stripes",Poor 3 trip,Undistance,Damaged material,"Pressing not
emboss","Pressing not 
subsidence",Wrong size,Wrong material,"Wrong cutting
 direction",Wrong cutting die,Punch Hole,Peel off pressing,Overcement,Cutting deviated,Peel off eyestay,Burned Material,Poor logo,Color migration,Over painting,White spot,Needle hole,Jagged marks,Lack of painting,Big/Small Logo,Poor pressing,Poor edge,Peel off painting,Over trimming,Lack of details,Heel 3mm short,Heel 4mm short,Heel 5mm short,Heel 6mm short,Toe 3mm short,Wamp pattern position wrong over +-1mm,Wrong position logo 2mm,Wrong position logo 3-4-5mm,Logo dented,Wrong size toe box,Eyestay pressing subsidence not matching,Wrong wamp position to left/right,Other defect,Remark 
2025,1,1,2001-02-25,INHOUSE,Tongue Logo,Printing,VL COURT 3.0 K,AC7-ID6313,900349907,360,36,36,0,0.00%,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2001-02-25,INHOUSE,Heel tap,Printing,GRAND COURT 2.0 EL C,AC2-IH5529,900210707,112,11,11,0,0.00%,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2001-02-25,INHOUSE,Heel tap,Printing,GRAND COURT 2.0 EL C,AC2-IH5529,900244230,51,5,5,0,0.00%,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2001-02-25,INHOUSE,Quater,Printing,TENSAUR RUN 3.0 J,A-JR6043,900223881,756,756,744,12,1.59%,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2001-02-25,INHOUSE,Heel tap,Printing,GRAND COURT 2.0 EL C,AC2-IH5531,900255054,1690,169,161,8,4.73%,Pass,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2001-02-25,INHOUSE,Heel tap,Printing,ADVANTAGE BASE 2.0 CF C,AC3-IE9019,A136003168,334,33,33,0,0.00%,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2001-02-25,INHOUSE,Tongue Logo,Printing,VL COURT 3.0 K,AC4-ID6309,900353784,34,3,3,0,0.00%,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2001-02-25,INHOUSE,Tongue Logo,Printing,VL COURT 3.0 K,AC4-ID6309,900353513,59,5,5,0,0.00%,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2001-02-25,INHOUSE,Tongue Logo,Printing,VL COURT 3.0 K,AC4-ID6309,900353395,45,4,4,0,0.00%,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2001-02-25,INHOUSE,Quater,Printing,VS PACE 2.0,AB1-HP6010,900340609,800,80,80,0,0.00%,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
